filename,rel_path,total_blocks,ratio_ones,decoded_bit,expected_bit,is_correct
49_254148.png,INSTRUCT_Pix2Pix\5\49_254148.png,1024,0.5380859375,1,1,1
4_248706.png,INSTRUCT_Pix2Pix\5\4_248706.png,1024,0.6328125,1,1,1
50_254165.png,INSTRUCT_Pix2Pix\5\50_254165.png,1024,0.5498046875,1,1,1
51_254345.png,INSTRUCT_Pix2Pix\5\51_254345.png,1024,0.5673828125,1,1,1
52_254448.png,INSTRUCT_Pix2Pix\5\52_254448.png,1024,0.5556640625,1,1,1
53_254491.png,INSTRUCT_Pix2Pix\5\53_254491.png,1024,0.5546875,1,1,1
54_254561.png,INSTRUCT_Pix2Pix\5\54_254561.png,1024,0.5927734375,1,1,1
55_254631.png,INSTRUCT_Pix2Pix\5\55_254631.png,1024,0.580078125,1,1,1
56_254643.png,INSTRUCT_Pix2Pix\5\56_254643.png,1024,0.5341796875,1,1,1
57_254666.png,INSTRUCT_Pix2Pix\5\57_254666.png,1024,0.54296875,1,1,1
58_254687.png,INSTRUCT_Pix2Pix\5\58_254687.png,1024,0.55859375,1,1,1
59_254893.png,INSTRUCT_Pix2Pix\5\59_254893.png,1024,0.5341796875,1,1,1
5_248735.png,INSTRUCT_Pix2Pix\5\5_248735.png,1024,0.5537109375,1,1,1
60_254947.png,INSTRUCT_Pix2Pix\5\60_254947.png,1024,0.5576171875,1,1,1
61_255255.png,INSTRUCT_Pix2Pix\5\61_255255.png,1024,0.63671875,1,1,1
62_255525.png,INSTRUCT_Pix2Pix\5\62_255525.png,1024,0.4853515625,0,1,0
63_255550.png,INSTRUCT_Pix2Pix\5\63_255550.png,1024,0.576171875,1,1,1
64_255731.png,INSTRUCT_Pix2Pix\5\64_255731.png,1024,0.5537109375,1,1,1
65_256406.png,INSTRUCT_Pix2Pix\5\65_256406.png,1024,0.513671875,1,1,1
66_256468.png,INSTRUCT_Pix2Pix\5\66_256468.png,1024,0.58984375,1,1,1
67_256657.png,INSTRUCT_Pix2Pix\5\67_256657.png,1024,0.5224609375,1,1,1
68_256670.png,INSTRUCT_Pix2Pix\5\68_256670.png,1024,0.5283203125,1,1,1
69_256693.png,INSTRUCT_Pix2Pix\5\69_256693.png,1024,0.5341796875,1,1,1
6_248870.png,INSTRUCT_Pix2Pix\5\6_248870.png,1024,0.53515625,1,1,1
70_256825.png,INSTRUCT_Pix2Pix\5\70_256825.png,1024,0.576171875,1,1,1
71_256841.png,INSTRUCT_Pix2Pix\5\71_256841.png,1024,0.5087890625,1,1,1
72_256966.png,INSTRUCT_Pix2Pix\5\72_256966.png,1024,0.5849609375,1,1,1
73_257148.png,INSTRUCT_Pix2Pix\5\73_257148.png,1024,0.5419921875,1,1,1
74_257270.png,INSTRUCT_Pix2Pix\5\74_257270.png,1024,0.509765625,1,1,1
75_257320.png,INSTRUCT_Pix2Pix\5\75_257320.png,1024,0.5625,1,1,1
76_257491.png,INSTRUCT_Pix2Pix\5\76_257491.png,1024,0.5625,1,1,1
77_257792.png,INSTRUCT_Pix2Pix\5\77_257792.png,1024,0.53515625,1,1,1
78_257932.png,INSTRUCT_Pix2Pix\5\78_257932.png,1024,0.513671875,1,1,1
79_257979.png,INSTRUCT_Pix2Pix\5\79_257979.png,1024,0.5439453125,1,1,1
7_248876.png,INSTRUCT_Pix2Pix\5\7_248876.png,1024,0.5146484375,1,1,1
80_258067.png,INSTRUCT_Pix2Pix\5\80_258067.png,1024,0.5458984375,1,1,1
81_258181.png,INSTRUCT_Pix2Pix\5\81_258181.png,1024,0.5380859375,1,1,1
82_258306.png,INSTRUCT_Pix2Pix\5\82_258306.png,1024,0.583984375,1,1,1
83_258314.png,INSTRUCT_Pix2Pix\5\83_258314.png,1024,0.59765625,1,1,1
84_258345.png,INSTRUCT_Pix2Pix\5\84_258345.png,1024,0.5283203125,1,1,1
85_258639.png,INSTRUCT_Pix2Pix\5\85_258639.png,1024,0.5576171875,1,1,1
86_258665.png,INSTRUCT_Pix2Pix\5\86_258665.png,1024,0.560546875,1,1,1
87_258670.png,INSTRUCT_Pix2Pix\5\87_258670.png,1024,0.5703125,1,1,1
